title,journal,journal_lower,date,authors,abstract,doi,pmid,Rank,Title
New mammalian selenocysteine-containing proteins identified with an algorithm that searches for selenocysteine insertion sequence elements,The Journal of biological chemistry,the journal of biological chemistry,1999-Nov,"['Kryukov GV', 'Kryukov VM', 'Gladyshev VN']","Mammalian selenium-containing proteins identified thus far contain selenium in the form of a selenocysteine residue encoded by UGA. These proteins lack common amino acid sequence motifs, but 3'-untranslated regions of selenoprotein genes contain a common stem-loop structure, selenocysteine insertion sequence (SECIS) element, that is necessary for decoding UGA as selenocysteine rather than a stop signal. We describe here a computer program, SECISearch, that identifies mammalian selenoprotein genes by recognizing SECIS elements on the basis of their primary and secondary structures and free energy requirements. When SECISearch was applied to search human dbEST, two new mammalian selenoproteins, designated SelT and SelR, were identified. We determined their cDNA sequences and expressed them in a monkey cell line as fusion proteins with a green fluorescent protein. Incorporation of selenium into new proteins was confirmed by metabolic labeling with (75)Se, and expression of SelT was additionally documented in immunoblot assays. SelT and SelR did not have homology to previously characterized proteins, but their putative homologs were detected in various organisms. SelR homologs were present in every organism characterized by complete genome sequencing. The data suggest applicability of SECISearch for identification of new selenoprotein genes in nucleotide data bases.",10.1074/jbc.274.48.33888,10567350,,
Redox regulation of cell signaling by selenocysteine in mammalian thioredoxin reductases,The Journal of biological chemistry,the journal of biological chemistry,1999-Aug,"['Sun QA', 'Wu Y', 'Zappacosta F', 'Jeang KT', 'Lee BJ', 'Hatfield DL', 'Gladyshev VN']","The intracellular generation of reactive oxygen species, together with the thioredoxin and glutathione systems, is thought to participate in redox signaling in mammalian cells. The activity of thioredoxin is dependent on the redox status of thioredoxin reductase (TR), the activity of which in turn is dependent on a selenocysteine residue. Two mammalian TR isozymes (TR2 and TR3), in addition to that previously characterized (TR1), have now been identified in humans and mice. All three TR isozymes contain a selenocysteine residue that is located in the penultimate position at the carboxyl terminus and which is encoded by a UGA codon. The generation of reactive oxygen species in a human carcinoma cell line was shown to result in both the oxidation of the selenocysteine in TR1 and a subsequent increase in the expression of this enzyme. These observations identify the carboxyl-terminal selenocysteine of TR1 as a cellular redox sensor and support an essential role for mammalian TR isozymes in redox-regulated cell signaling.",10.1074/jbc.274.35.24522,10455115,,
Levels of major selenoproteins in T cells decrease during HIV infection and low molecular mass selenium compounds increase,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,1999-Feb,"['Gladyshev VN', 'Stadtman TC', 'Hatfield DL', 'Jeang KT']","It has been observed previously that plasma selenium and glutathione levels are subnormal in HIV-infected individuals, and plasma glutathione peroxidase activity is decreased. Under these conditions the survival rate of AIDS patients is reduced significantly. In the present study, using 75Se-labeled human Jurkat T cells, we show that the levels of four 75Se-containing proteins are lower in HIV-infected cell populations than in uninfected cells. These major selenoproteins migrated as 57-, 26-, 21-, and 15-kDa species on SDS/PAGE gels. In our earlier studies, the 57-kDa protein was purified from T cells and identified as a subunit of thioredoxin reductase. The 26- and 21-kDa proteins were identified in immunoblot assays as the glutathione peroxidase (cGPX or GPX1) subunit and phospholipid hydroperoxide glutathione peroxidase (PHGPX or GPX4), respectively. We recently purified the 15-kDa protein and characterized it as a selenoprotein of unknown function. In contrast to selenoproteins, low molecular mass [75Se]compounds accumulated during HIV infection and migrated as a diffuse band near the front of SDS/PAGE gels.",10.1073/pnas.96.3.835,9927654,444.0,Proceedings of the National Academy of Sciences of the United States of America
Selenocysteine-containing proteins in mammals,Journal of biomedical science,journal of biomedical science,1999-,"['Gladyshev VN', 'Hatfield DL']","Since the recent discovery of selenocysteine as the 21st amino acid in protein, the field of selenium biology has rapidly expanded. Twelve mammalian selenoproteins have been characterized to date and each contains selenocysteine that is incorporated in response to specific UGA code words. These selenoproteins have different cellular functions, but in those selenoproteins for which the function is known, selenocysteine is located at the active center. The presence of selenocysteine at critical sites in naturally occurring selenoproteins provides an explanation for the important role of selenium in human health and development. This review describes known mammalian selenoproteins and discusses recent developments and future directions in the selenium field.",10.1007/BF02255899,10343164,867.0,Journal of Biomedical Science
Selenocysteine-containing thioredoxin reductase in C. elegans,Biochemical and biophysical research communications,biochemical and biophysical research communications,1999-Jun,"['Gladyshev VN', 'Krause M', 'Xu XM', 'Korotkov KV', 'Kryukov GV', 'Sun QA', 'Lee BJ', 'Wootton JC', 'Hatfield DL']","Mammalian thioredoxin reductases contain a TGA-encoded C-terminal penultimate selenocysteine (Sec) residue, and show little homology to bacterial, yeast, and plant thioredoxin reductases. Here we show that the nematode, Caenorhabditis elegans, contains two homologs related to the mammalian thioredoxin reductase family. The gene for one of these homologs contains a cysteine codon in place of TGA, and its product, designated TR-S, was previously suggested to function as thioredoxin reductase. The other gene contains TGA and its product is designated TR-Se. This Sec-containing thioredoxin reductase lacks a canonical Sec insertion sequence element in the 3'-untranslated area of the gene. TR-Se shows greater sequence similarity to mammalian thioredoxin reductase isozymes TR1 and TR2, whereas TR-S is more similar to TR3. TR-Se was identified as a thioredoxin reductase selenoprotein by labeling C. elegans with 75Se and characterizing the resulting 75Se-labeled protein by affinity and other column chromatography and gel-electrophoresis. TR-Se was expressed in Escherichia coli as a selenoprotein when a bacterial SECIS element was introduced downstream of the Sec TGA codon. The data show that TR-Se is the major naturally occurring selenoprotein in C. elegans, and suggest an important role for selenium and the thioredoxin system in this organism.",10.1006/bbrc.1999.0765,10362494,6580.0,Biochemical and Biophysical Research Communications
Selenium metabolism in zebrafish: multiplicity of selenoprotein genes and expression of a protein containing 17 selenocysteine residues,Genes to cells : devoted to molecular & cellular mechanisms,genes to cells : devoted to molecular & cellular mechanisms,2000-Dec,"['Kryukov GV', 'Gladyshev VN']","Fish are an important source of selenium in human nutrition and the zebrafish is a potentially useful model organism for the study of selenium metabolism and its role in biology and medicine. Selenium is present in vertebrate proteins in the form of selenocysteine (Sec), the 21st natural amino acid in protein which is encoded by UGA.",10.1046/j.1365-2443.2000.00392.x,11168591,,
Structure-expression relationships of the 15-kDa selenoprotein gene. Possible role of the protein in cancer etiology,The Journal of biological chemistry,the journal of biological chemistry,2000-Nov,"['Kumaraswamy E', 'Malykh A', 'Korotkov KV', 'Kozyavkin S', 'Hu Y', 'Kwon SY', 'Moustafa ME', 'Carlson BA', 'Berry MJ', 'Lee BJ', 'Hatfield DL', 'Diamond AM', 'Gladyshev VN']","Selenium has been implicated in cancer prevention, but the mechanism and possible involvement of selenoproteins in this process are not understood. To elucidate whether the 15-kDa selenoprotein may play a role in cancer etiology, the complete sequence of the human 15-kDa protein gene was determined, and various characteristics associated with expression of the protein were examined in normal and malignant cells and tissues. The 51-kilobase pair gene for the 15-kDa selenoprotein consisted of five exons and four introns and was localized on chromosome 1p31, a genetic locus commonly mutated or deleted in human cancers. Two stem-loop structures resembling selenocysteine insertion sequence elements were identified in the 3'-untranslated region of the gene, and only one of these was functional. Two alleles in the human 15-kDa protein gene were identified that differed by two single nucleotide polymorphic sites that occurred within the selenocysteine insertion sequence-like structures. These 3'-untranslated region polymorphisms resulted in changes in selenocysteine incorporation into protein and responded differently to selenium supplementation. Human and mouse 15-kDa selenoprotein genes manifested the highest level of expression in prostate, liver, kidney, testis, and brain, and the level of the selenoprotein was reduced substantially in a malignant prostate cell line and in hepatocarcinoma. The expression pattern of the 15-kDa protein in normal and malignant tissues, the occurrence of polymorphisms associated with protein expression, the role of selenium in differential regulation of polymorphisms, and the chromosomal location of the gene may be relevant to a role of this protein in cancer.",10.1074/jbc.M004014200,10945981,,
Multiple levels of regulation of selenoprotein biosynthesis revealed from the analysis of human glioma cell lines,Biochemical pharmacology,biochemical pharmacology,2000-Aug,"['Mansur DB', 'Hao H', 'Gladyshev VN', 'Korotkov KV', 'Hu Y', 'Moustafa ME', 'El-Saadani MA', 'Carlson BA', 'Hatfield DL', 'Diamond AM']","To gain a better understanding of the biological consequences of the exposure of tumor cells to selenium, we evaluated the selenium-dependent responses of two selenoproteins (glutathione peroxidase and the recently characterized 15-kDa selenoprotein) in three human glioma cell lines. Protein levels, mRNA levels, and the relative distribution of the two selenocysteine tRNA isoacceptors (designated mcm(5)U and mcm(5)Um) were determined for standard as well as selenium-supplemented conditions. The human malignant glioma cell lines D54, U251, and U87 were maintained in normal or selenium-supplemented (30 nM sodium selenite) conditions. Northern blot analysis demonstrated only minor increases in steady-state GSHPx-1 mRNA in response to selenium addition. Baseline glutathione peroxidase activity was 10.7 +/- 0.7, 7.6 +/- 0.7, and 4.3 +/- 0.7 nmol NADPH oxidized/min/mg protein for D54, U251, and U87, respectively, as determined by the standard coupled spectrophotometric assay. Glutathione peroxidase activity increased in a cell line-specific manner to 19.7 +/- 1.4, 15.6 +/- 2.1, and 6. 7 +/- 0.5 nmol NADPH oxidized/min/mg protein, respectively, as did a proportional increase in cellular resistance to H(2)O(2), in response to added selenium. The 15-kDa selenoprotein mRNA levels likewise remained constant despite selenium supplementation. The selenium-dependent change in distribution between the two selenocysteine tRNA isoacceptors also occurred in a cell line-specific manner. The percentage of the methylated isoacceptor, mcm(5)Um, changed from 35.5 to 47.2 for D54, from 38.1 to 47.3 for U251, and from 49.0 to 47.6 for U87. These data represent the first time that selenium-dependent changes in selenoprotein mRNA and protein levels, as well as selenocysteine tRNA distribution, were examined in human glioma cell lines.",10.1016/s0006-2952(00)00366-x,10874123,2623.0,Biochemical Pharmacology
Selenoprotein oxidoreductase with specificity for thioredoxin and glutathione systems,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,2001-Mar,"['Sun QA', 'Kirnarsky L', 'Sherman S', 'Gladyshev VN']","Thioredoxin (Trx) and glutathione (GSH) systems are considered to be two major redox systems in animal cells. They are reduced by NADPH via Trx reductase (TR) or oxidized GSH (GSSG) reductase and further supply electrons for deoxyribonucleotide synthesis, antioxidant defense, and redox regulation of signal transduction, transcription, cell growth, and apoptosis. We cloned and characterized a pyridine nucleotide disulfide oxidoreductase, Trx and GSSG reductase (TGR), that exhibits specificity for both redox systems. This enzyme contains a selenocysteine residue encoded by the TGA codon. TGR can reduce Trx, GSSG, and a GSH-linked disulfide in in vitro assays. This unusual substrate specificity is achieved by an evolutionary conserved fusion of the TR and glutaredoxin domains. These observations, together with the biochemical probing and molecular modeling of the TGR structure, suggest a mechanism whereby the C-terminal selenotetrapeptide serves a role of a protein-linked GSSG and shuttles electrons from the disulfide center within the TR domain to either the glutaredoxin domain or Trx.",10.1073/pnas.051454398,11259642,444.0,Proceedings of the National Academy of Sciences of the United States of America
Association between the 15-kDa selenoprotein and UDP-glucose:glycoprotein glucosyltransferase in the endoplasmic reticulum of mammalian cells,The Journal of biological chemistry,the journal of biological chemistry,2001-May,"['Korotkov KV', 'Kumaraswamy E', 'Zhou Y', 'Hatfield DL', 'Gladyshev VN']","Mammalian selenocysteine-containing proteins characterized with respect to function are involved in redox processes and exhibit distinct expression patterns and cellular locations. A recently identified 15-kDa selenoprotein (Sep15) has no homology to previously characterized proteins, and its function is not known. Here we report the intracellular localization and identification of a binding partner for this selenoprotein which implicate Sep15 in the regulation of protein folding. The native Sep15 isolated from rat prostate and mouse liver occurred in a complex with a 150-kDa protein. The latter protein was identified as UDP-glucose:glycoprotein glucosyltransferase (UGTR), the endoplasmic reticulum (ER)-resident protein, which was previously shown to be involved in the quality control of protein folding. UGTR functions by glucosylating misfolded proteins, retaining them in the ER until they are correctly folded or transferring them to degradation pathways. To determine the intracellular localization of Sep15, we expressed a green fluorescent protein-Sep15 fusion protein in CV-1 cells, and this protein was localized to the ER and possibly other perinuclear compartments. We determined that Sep15 contained the N-terminal signal peptide that was essential for translocation and that it was cleaved in the mature protein. However, C-terminal sequences of Sep15 were not involved in trafficking and retention of Sep15. The data suggest that the association between Sep15 and UGTR is responsible for maintaining the selenoprotein in the ER. This report provides the first example of the ER-resident selenoprotein and suggests a possible role of the trace element selenium in the quality control of protein folding.",10.1074/jbc.M009861200,11278576,,
Heterogeneity within animal thioredoxin reductases. Evidence for alternative first exon splicing,The Journal of biological chemistry,the journal of biological chemistry,2001-Feb,"['Sun QA', 'Zappacosta F', 'Factor VM', 'Wirth PJ', 'Hatfield DL', 'Gladyshev VN']","Animal thioredoxin reductases (TRs) are selenocysteine-containing flavoenzymes that utilize NADPH for reduction of thioredoxins and other protein and nonprotein substrates. Three types of mammalian TRs are known, with TR1 being a cytosolic enzyme, and TR3, a mitochondrial enzyme. Previously characterized TR1 and TR3 occurred as homodimers of 55-57-kDa subunits. We report here that TR1 isolated from mouse liver, mouse liver tumor, and a human T-cell line exhibited extensive heterogeneity as detected by electrophoretic, immunoblot, and mass spectrometry analyses. In particular, a 67-kDa band of TR1 was detected. Furthermore, a novel form of mouse TR1 cDNA encoding a 67-kDa selenoprotein subunit with an additional N-terminal sequence was identified. Subsequent homology analyses revealed three distinct isoforms of mouse and rat TR1 mRNA. These forms differed in 5' sequences that resulted from the alternative use of the first three exons but had common downstream sequences. Similarly, expression of multiple mRNA forms was observed for human TR3 and Drosophila TR. In these genes, alternative first exon splicing resulted in the formation of predicted mitochondrial and cytosolic proteins. In addition, a human TR3 gene overlapped with the gene for catechol-O-methyltransferase (COMT) on a complementary DNA strand, such that mitochondrial TR3 and membrane-bound COMT mRNAs had common first exon sequences; however, transcription start sites for predicted cytosolic TR3 and soluble COMT forms were separated by approximately 30 kilobases. Thus, this study demonstrates a remarkable heterogeneity within TRs, which, at least in part, results from evolutionary conserved genetic mechanisms employing alternative first exon splicing. Multiple transcription start sites within TR genes may be relevant to complex regulation of expression and/or organelle- and cell type-specific location of animal thioredoxin reductases.",10.1074/jbc.M004750200,11060283,,
